category_id,cate_name,app id
0,GAME,"{0, 4, 7, 9, 12, 18, 20, 28, 37, 40, 44, 48, 49, 51, 63, 69, 86, 88, 94, 104, 106, 107, 114, 117}"
1,ART_AND_DESIGN,"{1, 33, 100, 115, 62}"
2,BUSINESS,"{2, 42, 108, 52, 30, 95}"
3,TOOLS,"{66, 3, 105, 50, 53, 55, 57, 92, 29}"
4,PERSONALIZATION,"{97, 67, 5, 76, 109}"
5,FAMILY,"{65, 6, 46, 15, 14, 17, 110, 23, 58, 60, 61}"
6,SPORTS,"{8, 111}"
7,BOOKS_AND_REFERENCE,"{101, 10, 43, 82}"
8,FINANCE,"{56, 11, 36, 84}"
9,NEWS_AND_MAGAZINES,"{27, 13, 47}"
10,HOUSE_AND_HOME,"{16, 113, 72, 22}"
11,SOCIAL,"{98, 38, 112, 19, 91}"
12,ENTERTAINMENT,21
13,PHOTOGRAPHY,"{24, 73, 35}"
14,HEALTH_AND_FITNESS,"{25, 74, 41}"
15,DATING,"{26, 59, 77, 102}"
16,AUTO_AND_VEHICLES,"{80, 31}"
17,VIDEO_PLAYERS,"{32, 45, 70}"
18,SHOPPING,"{34, 78, 79}"
19,LIBRARIES_AND_DEMO,39
20,EDUCATION,"{103, 54, 71}"
21,PRODUCTIVITY,"{64, 116}"
22,COMMUNICATION,"{81, 68, 85}"
23,EVENTS,75
24,WEATHER,83
25,TRAVEL_AND_LOCAL,"{96, 87}"
26,MEDICAL,"{89, 99, 93}"
27,COMICS,90
